pais_codigo,pais_nombre,anio,pbi_percapita,manufactura_pct_pbi,anio_real_gini,gini,escolaridad,region
BRA,Brazil,2005,7409.56827992249,14.7382811395678,2005,56.3,14.848859,America Latina
BRA,Brazil,2015,8936.1955889444,10.5209374563041,2015,51.9,15.2454,America Latina
BRA,Brazil,2022,9032.08377657776,13.0740816278135,2022,51.9,15.79271,America Latina
CHN,China,2005,3465.81734409951,31.6564574964127,2005,40.9,11.544524,Asia Oriental
CHN,China,2015,8175.33285077393,28.3889960582852,2015,38.6,13.978326,Asia Oriental
CHN,China,2022,11830.5983703496,26.4237655920515,2022,36,15.478749,Asia Oriental
COL,Colombia,2005,4457.27537460443,15.9910403067837,2005,53.9,13.17888,America Latina
COL,Colombia,2015,6248.51490534512,12.4008937581087,2015,52,14.64528,America Latina
COL,Colombia,2022,6856.72590505374,11.1476678003017,2022,54.8,14.28641,America Latina
EGY,"Egypt, Arab Rep.",2005,2635.70305227819,16.709452181987,2004,31.8,10.83143,Medio Oriente y Norte de Africa
EGY,"Egypt, Arab Rep.",2015,3306.98159414141,16.6974467040386,2015,31.8,11.887435,Medio Oriente y Norte de Africa
EGY,"Egypt, Arab Rep.",2022,4029.78295457978,15.9705322282435,2021,28.5,13.127162,Medio Oriente y Norte de Africa
ESP,Spain,2005,26294.447384391,13.5021042492259,2005,32.4,15.98174,Europa
ESP,Spain,2015,25982.4416197775,11.0137685905408,2015,36.2,17.40424,Europa
ESP,Spain,2022,28203.1093419474,11.0279875249207,2022,33.6,17.83031,Europa
FRA,France,2005,34946.0372494703,12.1452500973725,2005,29.8,15.43264,Europa
FRA,France,2015,36702.4323733379,10.3199116417468,2015,32.7,15.51357,Europa
FRA,France,2022,38868.3303330557,9.3013624882498,2022,31.2,16.09512,Europa
IRN,"Iran, Islamic Rep.",2005,4650.35841490708,15.0414920675817,2005,43.6,12.03252,Medio Oriente y Norte de Africa
IRN,"Iran, Islamic Rep.",2015,4952.73355532178,13.4507444091979,2015,35.3,14.88682,Medio Oriente y Norte de Africa
IRN,"Iran, Islamic Rep.",2022,5465.31447539413,22.2248337587519,2022,34.8,13.96833,Medio Oriente y Norte de Africa
ISR,Israel,2005,29623.7172812577,14.747121073892,2005,42.3,14.64526,Medio Oriente y Norte de Africa
ISR,Israel,2015,36213.1041481958,12.8932303458212,2015,39.7,15.0473,Medio Oriente y Norte de Africa
ISR,Israel,2022,42516.3888090274,12.1935490053439,2022,38.3,14.93416,Medio Oriente y Norte de Africa
ITA,Italy,2005,33407.6754716472,15.5229654911425,2005,33.8,16.19094,Europa
ITA,Italy,2015,30639.8829751432,14.2623447666015,2015,35.4,15.95447,Europa
ITA,Italy,2022,33891.8866526216,15.3822538780623,2022,33.7,16.7142,Europa
KEN,Kenya,2005,1223.44738472019,10.5360857511169,2005,46.4,9.42702,Africa Subsahariana
KEN,Kenya,2015,1489.11959777284,9.97517981812866,2015,40.8,10.936513,Africa Subsahariana
KEN,Kenya,2022,1747.53198804428,7.74068726212304,2022,38.5,11.474075,Africa Subsahariana
PER,Peru,2005,3835.13219279722,16.5516113723285,2005,50.4,12.61706,America Latina
PER,Peru,2015,6231.71150338894,13.7880201715375,2015,43.4,14.589917,America Latina
PER,Peru,2022,6667.51695632036,12.3945381294598,2022,40.3,14.909393,America Latina
ZAF,South Africa,2005,5406.07581377638,17.3705797296878,2005,65,11.85476,Africa Subsahariana
ZAF,South Africa,2015,6112.27382485974,12.5179444713924,2014,59.6,14.60561,Africa Subsahariana
ZAF,South Africa,2022,5786.86505344736,12.4454055010392,2022,54.1,13.79325,Africa Subsahariana
